,query,engine,batch,instance,query_class,status,timeout,nb_results,nb_distinct_sources,relevant_sources_selectivity,tpwss,source_selection_time,planning_time,ask,exec_time,http_req,data_transfer,sts,exec_time_only
20994,q10,fedup_h0,9,9,MD,success,,1.0,2.0,0.01,14.0,0.1,,400.0,8.0,402.0,0.253425,success,7.9
20995,q10,fedup_h0,9,9,MD,success,,1.0,2.0,0.01,14.0,1.0,,400.0,6.0,402.0,0.253425,success,5.0
20996,q10,fedup_h0,9,9,MD,success,,1.0,2.0,0.01,14.0,1.0,,400.0,6.0,402.0,0.253425,success,5.0
20997,q10,rsa,9,9,MD,success,,1.0,1.0,0.005,7.0,,,0.0,34.01541709899902,1.0,0.000771,success,
20998,q10,rsa,9,9,MD,success,,1.0,1.0,0.005,7.0,,,0.0,32.678842544555664,1.0,0.000771,success,
20999,q10,rsa,9,9,MD,success,,1.0,1.0,0.005,7.0,,,0.0,32.584428787231445,1.0,0.000771,success,
21000,q11,fedx,0,0,SD,success,,9.0,1.0,0.05,2.0,520.0,0.0,60.0,640.0,61.0,0.021894,success,120.0
21001,q11,fedx,0,0,SD,success,,9.0,1.0,0.05,2.0,514.0,0.0,60.0,636.0,61.0,0.021894,success,122.0
21002,q11,fedx,0,0,SD,success,,9.0,1.0,0.05,2.0,528.0,0.0,60.0,640.0,61.0,0.021894,success,112.0
21003,q11,costfed,0,0,SD,success,,9.0,1.0,0.05,1.0,277.0,278.0,100.0,287.0,101.0,0.046818,success,10.0
21004,q11,costfed,0,0,SD,success,,9.0,1.0,0.05,1.0,199.0,200.0,100.0,208.0,101.0,0.046818,success,9.0
21005,q11,costfed,0,0,SD,success,,9.0,1.0,0.05,1.0,210.0,211.0,100.0,221.0,101.0,0.046818,success,11.0
21006,q11,splendid,0,0,SD,error_runtime,120000.0,,1.0,0.05,2.0,,,0.0,,90.0,0.003957,error_runtime,
21007,q11,splendid,0,0,SD,error_runtime,120000.0,,1.0,0.05,2.0,,,0.0,,90.0,0.003957,error_runtime,
21008,q11,splendid,0,0,SD,error_runtime,120000.0,,1.0,0.05,2.0,,,0.0,,90.0,0.003957,error_runtime,
21009,q11,semagrow,0,0,SD,success,,9.0,1.0,0.05,2.0,566.0,32.0,60.0,686.0,61.0,0.024162,success,120.0
21010,q11,semagrow,0,0,SD,success,,9.0,1.0,0.05,2.0,624.0,26.0,60.0,719.0,61.0,0.024162,success,95.0
21011,q11,semagrow,0,0,SD,success,,9.0,1.0,0.05,2.0,604.0,34.0,60.0,758.0,61.0,0.024162,success,154.0
21012,q11,anapsid,0,0,SD,success,,9.0,1.0,0.05,2.0,0.26802835464477537,0.1725080013275146,60.0,0.2058343887329101,63.0,0.010440999999999999,success,-0.06219396591186527
